Year/Age Group  (Population in Thousands),0-4,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
1950,71324,57298,63665,58930,62611,56353,44333,52460,50116,45021,38383,32230,27473,22219,16160,10287,5259,2087,565,92,9
1951,73575,57201,63549,58805,62407,57652,45976,50649,50845,45729,39499,32940,27810,22686,16444,10571,5362,2099,567,91,9
1952,74561,59204,62391,59485,61548,58939,48591,48073,51452,46509,40565,33670,28208,23086,16768,10816,5480,2120,566,91,10
1953,75343,62163,60440,60737,60227,60198,51512,45502,51935,47278,41688,34432,28602,23551,17157,11056,5638,2146,569,92,10
1954,75945,65647,58521,62030,58866,61168,54091,43752,52104,48062,42747,35239,29091,23972,17592,11284,5790,2189,576,93,10
1955,76541,69328,56957,62685,58033,61706,55854,43689,51464,48873,43518,36323,29759,24248,18055,11502,5965,2254,585,95,10
1956,77336,71860,56875,62617,57881,61633,57133,45469,49742,49575,44196,37441,30493,24579,18487,11735,6154,2307,593,96,10
1957,78256,73094,58957,61608,58472,60908,58376,48198,47248,50197,45023,38517,31229,25014,18893,12029,6315,2363,600,96,10
1958,79207,74096,62227,59933,59649,59675,59555,51151,44724,50565,45747,39666,31972,25445,19404,12371,6470,2439,611,98,10
1959,79802,74998,65933,58246,61095,58329,60454,53677,43016,50709,46429,40749,32683,25937,19844,12752,6629,2528,636,102,9
1960,80131,75852,69709,56722,62059,57376,61048,55372,43067,50164,47268,41463,33709,26579,20125,13174,6823,2639,673,107,10
1961,80472,76743,72256,56665,62230,57165,61181,56639,44982,48490,47995,42102,34794,27285,20462,13583,7049,2768,711,113,10
1962,80557,77606,73382,58839,61376,57924,60701,57931,47769,46108,48588,42978,35752,27911,20853,13929,7282,2873,750,119,11
1963,80336,78484,74193,62060,59763,59364,59554,59166,50656,43762,49103,43767,36838,28460,21198,14342,7544,2957,786,124,11
1964,79839,79235,74918,65675,58012,60996,58167,60165,53111,42184,49372,44545,37882,29067,21589,14758,7849,3051,825,132,12
1965,78839,79776,75773,69424,56373,61987,57243,60871,54850,42203,48902,45396,38666,30032,22146,15003,8162,3173,872,142,12
1966,77472,80265,76729,72052,56320,62299,57053,61008,56075,44077,47263,46058,39326,31018,22729,15244,8450,3305,919,152,13
1967,76109,80399,77697,73206,58492,61454,57753,60404,57329,46828,44833,46629,40163,31912,23278,15539,8702,3447,960,161,14
1968,74815,80180,78678,74054,61703,59736,59143,59171,58535,49683,42474,47115,40935,32905,23759,15820,8972,3601,996,170,15
1969,73590,79715,79496,74838,65406,57997,60813,57766,59497,52127,40891,47350,41690,33844,24259,16093,9226,3757,1027,178,16
1970,72823,78658,79961,75663,69257,56372,61842,56824,60092,53982,40932,46909,42401,34591,24974,16441,9407,3927,1076,188,17
1971,72473,77272,80308,76691,72015,56425,62111,56698,60127,55282,42859,45287,42984,35207,25792,16861,9565,4079,1129,201,19
1972,72016,75940,80484,77738,73313,58891,61380,57543,59586,56432,45690,42928,43585,35942,26605,17276,9747,4198,1176,211,20
1973,71329,74628,80337,78741,74288,62370,59843,59017,58458,57525,48640,40679,44072,36651,27460,17642,9936,4340,1228,220,22
1974,70620,73369,79929,79535,75188,66117,58260,60671,57125,58397,51101,39210,44345,37360,28304,18067,10134,4483,1282,228,23
1975,69860,72521,79054,80098,76080,69989,56828,61692,56232,58982,52759,39290,43948,38059,28985,18692,10401,4592,1342,239,25
1976,69014,72098,77771,80569,77055,72636,56896,61932,56146,59025,53887,41160,42479,38672,29588,19390,10704,4691,1399,251,27
1977,68449,71629,76433,80811,78036,73737,59237,61143,56938,58461,54948,43911,40240,39279,30273,20095,11017,4815,1454,264,29
1978,68237,70924,75101,80765,79029,74537,62554,59549,58363,57316,55961,46738,38115,39782,30966,20856,11331,4963,1521,280,31
1979,68272,70224,73841,80443,79866,75356,66164,57945,59986,56001,56774,49051,36769,40068,31638,21573,11662,5119,1588,297,32
1980,68593,69550,73023,79656,80557,76325,70009,56570,61008,55178,57313,50596,36871,39723,32267,22136,12122,5298,1640,314,34
1981,68897,68828,72637,78525,81222,77417,72665,56655,61258,55086,57348,51642,38609,38358,32780,22620,12654,5491,1692,331,37
1982,69128,68300,72223,77311,81603,78452,73775,58885,60501,55789,56802,52614,41123,36305,33295,23173,13172,5688,1758,349,39
1983,69481,68125,71591,76032,81670,79545,74654,62081,58919,57133,55683,53505,43730,34331,33755,23737,13693,5883,1829,369,43
1984,69691,68212,70884,74784,81481,80537,75544,65662,57294,58668,54360,54222,45860,33103,34029,24300,14193,6083,1908,388,46
1985,69642,68519,70119,73928,80836,81309,76524,69485,55909,59615,53504,54717,47250,33277,33753,24856,14629,6352,1995,404,49
1986,69765,68810,69313,73540,79690,81965,77673,72187,55966,59874,53387,54751,48227,34909,32628,25342,15028,6665,2081,420,52
1987,70008,69046,68738,73169,78322,82286,78748,73468,58199,59270,54091,54295,49186,37213,30954,25863,15478,6985,2173,439,55
1988,70076,69449,68640,72677,76878,82226,79838,74503,61384,57885,55397,53372,50091,39697,29335,26331,15940,7310,2268,460,57
1989,70063,69732,68835,72010,75626,81927,80868,75450,64935,56442,56940,52138,50872,41699,28429,26639,16445,7626,2366,483,60
1990,69842,69792,69252,71199,74974,81299,81696,76443,68787,55191,58036,51393,51337,42940,28752,26611,16881,7927,2495,511,63
1991,69219,70037,69704,70494,74783,80258,82427,77654,71591,55260,58380,51354,51374,43866,30233,25863,17273,8215,2644,539,65
1992,68176,70337,70042,70025,74464,79027,82793,78772,72893,57371,57801,51900,51022,44695,32193,24615,17775,8519,2791,563,69
1993,66784,70443,70514,69976,73867,77748,82826,79845,73868,60394,56424,53139,50123,45438,34318,23319,18168,8811,2928,585,72
1994,65173,70511,70935,70271,73210,76611,82659,80875,74791,63838,54965,54646,48928,46084,36066,22806,18413,9112,3054,607,74
1995,63396,70446,71157,70780,72472,75991,82026,81708,75711,67560,53687,55641,48207,46443,37106,23175,18390,9376,3178,640,78
1996,61639,69971,71506,71273,71798,75776,80920,82370,76830,70219,53718,55914,48162,46446,37854,24202,17857,9612,3296,677,81
1997,60164,68988,71898,71746,71480,75473,79646,82709,77923,71475,55784,55373,48723,46166,38536,25838,17031,9910,3416,712,84
1998,59046,67527,71983,72264,71489,74848,78309,82746,78993,72446,58736,54139,49949,45451,39183,27563,16223,10167,3541,745,87
1999,58273,65763,71952,72628,71730,74121,77122,82551,79987,73337,62088,52828,51394,44496,39762,28986,15828,10344,3671,773,89
2000,57815,63881,71849,72870,72323,73416,76512,81912,80845,74234,65709,51672,52363,43958,40146,29875,16253,10351,3785,803,93
2001,57579,62063,71333,73253,72928,72816,76323,80832,81574,75360,68313,51778,52673,44018,40268,30518,17307,10086,3900,837,97
2002,57580,60662,70363,73696,73532,72678,76153,79707,82052,76542,69614,53866,52251,44652,40162,31108,18566,9683,4035,869,101
2003,57835,59778,68977,73794,74246,73047,75793,78607,82275,77757,70655,56791,51220,45845,39665,31685,19834,9300,4141,897,104
2004,58225,59210,67252,73655,74690,73610,75295,77598,82207,78878,71612,60083,50135,47209,38986,32248,20910,9198,4249,934,108
2005,58629,58901,65388,73457,74845,74337,74714,77059,81637,79822,72584,63640,49182,48174,38688,32629,21651,9604,4301,974,113
2006,59081,58783,63620,72967,74975,74886,74169,76922,80629,80612,73769,66213,49424,48569,38882,32861,22208,10364,4231,1016,119
2007,59817,58763,62207,72052,75198,75314,74044,76784,79565,81100,74980,67472,51536,48299,39582,32971,22731,11218,4129,1072,126
2008,60733,58895,61252,70753,75338,75900,74365,76417,78507,81325,76190,68455,54370,47495,40753,32739,23254,12034,4060,1125,132
2009,61562,59160,60639,69134,75445,76265,74816,75895,77514,81290,77307,69384,57499,46637,42038,32387,23782,12741,4106,1172,140
2010,62158,59459,60317,67360,75549,76327,75414,75253,76985,80790,78277,70351,60838,45886,42979,32339,24236,13286,4381,1196,149
2011,62522,59932,60197,65582,75308,76520,75977,74701,76881,79876,79125,71552,63233,46238,43429,32664,24558,13715,4800,1179,156
2012,62630,60755,60113,64021,74428,76809,76411,74573,76756,78888,79680,72788,64425,48300,43300,33390,24745,14106,5195,1146,164
2013,62463,61729,60176,62933,73027,76944,76915,74854,76404,77911,79965,74020,65391,50987,42728,34481,24721,14510,5545,1128,172
2014,62256,62631,60441,62264,71342,77100,77271,75322,75921,77029,80014,75166,66332,53890,42128,35632,24644,14937,5865,1152,178
2015,62213,63347,60799,61983,69507,77278,77461,76025,75376,76607,79612,76172,67327,57000,41597,36500,24791,15319,6122,1238,180
2016,62223,63825,61344,62007,67862,77164,77830,76706,74896,76555,78765,77031,68521,59252,42014,36964,25204,15618,6341,1363,176
2017,61922,64067,62238,62056,66587,76519,78330,77254,74800,76429,77820,77589,69723,60377,43955,36944,25897,15842,6561,1484,173
2018,61246,64037,63270,62175,65745,75393,78712,77898,75149,76095,76897,77904,70917,61298,46438,36572,26820,15934,6782,1587,172
2019,60315,63909,64206,62436,65258,73908,79058,78401,75707,75678,76084,78010,72044,62216,49102,36199,27771,16012,7024,1685,179
2020,59030,63810,64815,62610,64882,72081,79212,78584,76386,75159,75667,77619,72973,63094,51851,35780,28395,16156,7202,1759,193
2021,57557,63644,65085,62876,64556,70216,78912,78843,76979,74643,75564,76737,73671,64025,53706,36051,28558,16381,7320,1820,211
2022,56198,63122,65111,63533,64254,68693,78062,79178,77427,74454,75378,75762,74098,65011,54575,37739,28452,16834,7448,1889,227
2023,54985,62234,64875,64349,64016,67578,76720,79370,77977,74720,75050,74908,74443,66185,55422,40050,28330,17510,7568,1973,242
